,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ADMIN1,ISO3,ISO-ADMIN1,Physical exposure to flood,Physical exposure to drought,Natural,Political violence,Conflict probability,Human,HAZARD,Development & Deprivation,Inequality,Socio-Economic Vulnerability,Uprooted people,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Private Infrastructure,Public Infrastructure,Social Infrastructure,Infrastructure,Income and jobs,Access to Finance,Access to insurance,Financial & economic system,LACK OF COPING CAPACITY,RISK
(a-z),(a-z),(a-z),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),,(0-10),,(0-10),(0-10)
Burundi,Bubanza,BDI,BI-BB,3.9,4.8,4.3,3.6,4.7,3.3,3.8,8.5,4.0,7.0,2.9,0.0,10.0,7.6,5.7,6.4,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Bujumbura Mairie,BDI,BI-BM,3.9,4.8,4.3,3.6,4.7,3.3,3.8,6.5,3.4,5.5,2.9,0.0,10.0,7.6,5.7,5.6,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.4
Burundi,Bujumbura Rural,BDI,BI-BL,3.9,4.8,4.3,3.6,4.7,3.3,3.8,8.5,4.0,7.0,2.9,0.0,10.0,7.6,5.7,6.4,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Bururi,BDI,BI-BR,3.9,4.8,4.3,0.3,4.7,3.3,3.8,7.9,3.9,6.6,2.9,0.0,10.0,7.6,5.7,6.2,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Cankuzo,BDI,BI-CA,3.9,4.8,4.3,0.0,4.7,3.3,3.8,8.3,3.9,6.8,2.9,0.0,10.0,7.6,5.7,6.3,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Cibitoke,BDI,BI-CI,3.9,4.8,4.3,4.5,4.7,3.3,3.8,8.5,4.0,7.0,2.9,0.0,10.0,7.6,5.7,6.4,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Gitega,BDI,BI-GI,3.9,4.8,4.3,0.2,4.7,3.3,3.8,8.3,3.9,6.8,2.9,0.0,10.0,7.6,5.7,6.3,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Karuzi,BDI,BI-KR,3.9,4.8,4.3,0.3,4.7,3.3,3.8,8.3,3.9,6.8,2.9,0.0,10.0,7.6,5.7,6.3,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Kayanza,BDI,BI-KY,3.9,4.8,4.3,1.1,4.7,3.3,3.8,8.5,4.0,7.0,2.9,0.0,10.0,7.6,5.7,6.4,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.7
Burundi,Kirundo,BDI,BI-KI,3.9,4.8,4.3,1.4,4.7,3.3,3.8,8.5,4.0,7.0,2.9,0.0,10.0,7.6,5.7,6.4,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.7
Burundi,Makamba,BDI,BI-MA,3.9,4.8,4.3,0.0,4.7,3.3,3.8,7.9,3.9,6.6,2.9,0.0,10.0,7.6,5.7,6.2,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Muramvya,BDI,BI-MU,3.9,4.8,4.3,0.0,4.7,3.3,3.8,8.3,3.9,6.8,2.9,0.0,10.0,7.6,5.7,6.3,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Muyinga,BDI,BI-MY,3.9,4.8,4.3,0.1,4.7,3.3,3.8,8.5,4.0,7.0,2.9,0.0,10.0,7.6,5.7,6.4,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.7
Burundi,Mwaro,BDI,BI-MW,3.9,4.8,4.3,0.0,4.7,3.3,3.8,7.9,3.9,6.6,2.9,0.0,10.0,7.6,5.7,6.2,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Ngozi,BDI,BI-NG,3.9,4.8,4.3,0.0,4.7,3.3,3.8,8.5,4.0,7.0,2.9,0.0,10.0,7.6,5.7,6.4,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.7
Burundi,Rutana,BDI,BI-RT,3.9,4.8,4.3,0.0,4.7,3.3,3.8,7.9,3.9,6.6,2.9,0.0,10.0,7.6,5.7,6.2,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Burundi,Ruyigi,BDI,BI-RY,3.9,4.8,4.3,0.2,4.7,3.3,3.8,8.3,3.9,6.8,2.9,0.0,10.0,7.6,5.7,6.3,3.6,7.5,5.5,9.4,7.0,x,8.2,9.9,8.8,5.0,7.9,7.4,5.6
Djibouti,Ali Sabieh,DJI,DJ-AS,3.3,3.9,3.6,0.0,0.6,0.4,2.1,5.8,2.1,4.6,0.0,0.0,x,0.0,0.0,2.6,0.0,6.9,3.4,9.1,9.6,x,9.4,9.2,8.4,5.0,7.5,7.5,3.5
Djibouti,Dikhil,DJI,DJ-DI,3.2,6.1,4.8,0.0,0.6,0.4,2.9,5.8,2.1,4.6,0.0,0.0,x,0.0,0.0,2.6,0.0,6.9,3.4,9.1,9.6,x,9.4,9.2,8.4,5.0,7.5,7.5,3.8
Djibouti,Djibouti,DJI,DJ-DJ,10.0,6.4,8.8,0.4,0.6,0.4,6.2,5.3,2.2,4.3,0.0,0.0,x,0.0,0.0,2.4,0.0,6.9,3.4,9.1,9.6,x,9.4,9.2,8.4,5.0,7.5,7.5,4.8
Djibouti,Obock,DJI,DJ-OB,0.0,5.9,3.5,0.1,0.6,0.4,2.1,5.8,2.1,4.6,0.0,0.0,x,0.0,0.0,2.6,0.0,6.9,3.4,9.1,9.6,x,9.4,9.2,8.4,5.0,7.5,7.5,3.4
Djibouti,Tadjourah,DJI,DJ-TA,1.8,6.2,4.4,0.8,0.6,0.4,2.6,5.8,2.1,4.6,0.0,0.0,x,0.0,0.0,2.6,0.0,6.9,3.4,9.1,9.6,x,9.4,9.2,8.4,5.0,7.5,7.5,3.7
Eritrea,Anseba,ERI,ER-AN,0.0,0.9,0.4,1.0,1.6,1.1,0.8,8.8,x,8.8,1.7,0.0,x,0.0,0.9,6.2,9.6,8.0,8.8,9.9,9.4,x,9.7,9.8,10.0,5.0,8.3,9.0,3.5
Eritrea,Debub,ERI,ER-DU,3.2,1.3,2.3,8.0,1.6,8.0,5.9,8.8,x,8.8,1.7,0.0,x,0.0,0.9,6.2,9.6,8.0,8.8,9.9,9.4,x,9.7,9.8,10.0,5.0,8.3,9.0,6.9
Eritrea,Debubawi Keih Bahri,ERI,ER-DK,0.0,1.7,0.9,0.0,1.6,1.1,1.0,8.8,x,8.8,1.7,0.0,x,0.0,0.9,6.2,9.6,8.0,8.8,9.9,9.4,x,9.7,9.8,10.0,5.0,8.3,9.0,3.8
Eritrea,Gash Barka,ERI,ER-GB,4.4,1.0,2.9,0.0,1.6,1.1,2.0,8.8,x,8.8,1.7,0.0,x,0.0,0.9,6.2,9.6,8.0,8.8,9.9,9.4,x,9.7,9.8,10.0,5.0,8.3,9.0,4.8
Eritrea,Maekel,ERI,ER-MA,0.0,0.0,0.0,0.0,1.6,1.1,0.6,8.8,x,8.8,1.7,0.0,x,0.0,0.9,6.2,9.6,8.0,8.8,9.9,9.4,x,9.7,9.8,10.0,5.0,8.3,9.0,3.2
Eritrea,Semenawi Keih Bahri,ERI,ER-SK,3.0,1.6,2.3,3.6,1.6,1.1,1.7,8.8,x,8.8,1.7,0.0,x,0.0,0.9,6.2,9.6,8.0,8.8,9.9,9.4,x,9.7,9.8,10.0,5.0,8.3,9.0,4.6
Ethiopia,Addis Ababa,ETH,ET-AA,0.0,0.0,0.0,5.3,8.1,5.6,3.3,5.5,0.7,3.9,4.7,0.0,x,0.0,2.7,3.3,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,4.5
Ethiopia,Afar,ETH,ET-AF,10.0,7.7,9.2,2.3,8.1,5.6,7.8,9.2,4.1,7.5,5.9,0.0,x,0.0,3.5,5.9,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,7.2
Ethiopia,Amhara,ETH,ET-AM,8.1,5.8,7.1,10.0,8.1,10.0,9.0,9.1,3.2,7.1,3.2,0.0,x,0.0,1.7,5.0,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,7.2
Ethiopia,Benishangul Gumuz,ETH,ET-BE,3.2,0.7,2.0,2.1,8.1,5.6,4.1,9.0,2.9,7.0,6.6,0.0,x,0.0,4.0,5.7,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,5.7
Ethiopia,Dire Dawa,ETH,ET-DD,6.0,6.4,6.2,0.0,8.1,5.6,5.9,6.9,3.8,5.9,3.2,0.0,x,0.0,1.7,4.1,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,5.8
Ethiopia,Gambella,ETH,ET-GA,10.0,0.6,7.7,7.8,8.1,7.8,7.7,7.9,3.5,6.4,7.6,0.0,x,0.0,4.9,5.7,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,7.1
Ethiopia,Harari,ETH,ET-HA,0.0,6.3,3.8,0.8,8.1,5.6,4.8,6.9,3.9,5.9,3.2,0.0,x,0.0,1.7,4.1,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,5.4
Ethiopia,Oromiya,ETH,ET-OR,7.9,8.0,8.0,10.0,8.1,10.0,9.2,9.1,3.2,7.1,4.0,0.0,x,0.0,2.2,5.2,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,7.3
Ethiopia,SNNPR,ETH,ET-SN,8.1,7.0,7.6,8.3,8.1,8.3,8.0,8.9,3.1,7.0,3.2,0.0,x,0.0,1.7,4.9,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,6.8
Ethiopia,Somali,ETH,ET-SO,7.9,7.1,7.6,10.0,8.1,10.0,9.1,9.2,3.2,7.2,7.2,0.0,x,0.0,4.5,6.0,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,7.7
Ethiopia,Tigray,ETH,ET-TI,7.8,6.8,7.3,2.7,8.1,5.6,6.6,8.5,3.6,6.8,6.4,0.0,x,0.0,3.9,5.6,8.0,6.4,7.2,9.4,9.0,x,9.2,9.6,8.6,5.0,7.7,8.2,6.7
Kenya,Baringo,KEN,KE-BA,10.0,3.6,8.2,7.9,8.4,7.9,8.1,5.6,4.5,5.3,3.6,0.0,10.0,7.6,6.0,5.6,8.1,6.6,7.4,6.7,8.1,x,7.4,9.4,8.4,5.0,7.6,7.4,7.0
Kenya,Bomet,KEN,KE-BO,10.0,2.1,8.0,6.4,8.4,6.4,7.3,5.3,4.1,4.9,3.6,0.0,0.0,0.0,2.0,3.6,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.8
Kenya,Bungoma,KEN,KE-BN,10.0,2.6,8.0,0.8,8.4,5.9,7.1,5.9,4.6,5.5,3.6,0.0,0.0,0.0,2.0,3.9,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.0
Kenya,Busia,KEN,KE-BS,10.0,6.5,8.9,1.3,8.4,5.9,7.7,6.5,5.0,6.0,3.6,0.0,0.0,0.0,2.0,4.3,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.3
Kenya,Elgeyo-Marakwet,KEN,KE-EM,9.2,5.1,7.7,6.4,8.4,6.4,7.1,5.4,4.1,5.0,3.6,0.0,0.0,0.0,2.0,3.6,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.8
Kenya,Embu,KEN,KE-EB,8.6,6.4,7.7,3.6,8.4,5.9,6.9,5.2,4.1,4.9,3.6,0.0,10.0,7.6,6.0,5.4,8.1,6.6,7.4,6.7,8.4,x,7.6,9.4,8.4,5.0,7.6,7.5,6.5
Kenya,Garissa,KEN,KE-GA,10.0,6.5,8.9,10.0,8.4,10.0,9.5,8.1,5.5,7.2,8.2,0.0,10.0,7.6,7.9,7.6,8.1,6.6,7.4,6.7,7.2,x,7.0,9.4,8.4,5.0,7.6,7.3,8.1
Kenya,Homa Bay,KEN,KE-HB,10.0,6.8,8.9,0.4,8.4,5.9,7.7,6.7,4.8,6.1,3.6,0.0,0.0,0.0,2.0,4.3,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.3
Kenya,Isiolo,KEN,KE-IS,6.9,6.4,6.7,3.6,8.4,5.9,6.3,6.2,5.0,5.8,3.6,0.0,10.0,7.6,6.0,5.9,8.1,6.6,7.4,6.7,6.4,x,6.5,9.4,8.4,5.0,7.6,7.2,6.4
Kenya,Kajiado,KEN,KE-KJ,8.5,6.7,7.7,6.4,8.4,6.4,7.1,4.9,5.0,4.9,3.6,0.0,0.0,0.0,2.0,3.6,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.8
Kenya,Kakamega,KEN,KE-KK,10.0,4.0,8.3,0.7,8.4,5.9,7.3,5.9,4.4,5.4,3.6,0.0,0.0,0.0,2.0,3.9,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.0
Kenya,Kericho,KEN,KE-KR,10.0,3.5,8.2,6.4,8.4,6.4,7.4,5.5,4.9,5.3,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.0
Kenya,Kiambu,KEN,KE-KB,8.3,1.7,6.0,3.6,8.4,5.9,5.9,4.4,3.5,4.1,3.6,0.0,0.0,0.0,2.0,3.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.2
Kenya,Kilifi,KEN,KE-KF,10.0,6.7,8.9,6.4,8.4,6.4,7.9,5.1,6.5,5.6,3.6,0.0,10.0,7.6,6.0,5.8,8.1,6.6,7.4,6.7,8.4,x,7.6,9.4,8.4,5.0,7.6,7.5,7.0
Kenya,Kirinyaga,KEN,KE-KY,9.5,2.4,7.4,3.6,8.4,5.9,6.7,4.3,3.7,4.1,3.6,0.0,0.0,0.0,2.0,3.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.4
Kenya,Kisii,KEN,KE-KI,9.1,6.6,8.1,0.1,8.4,5.9,7.2,5.5,4.7,5.2,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.9
Kenya,Kisumu,KEN,KE-KU,10.0,6.7,8.9,2.1,8.4,5.9,7.7,5.4,4.8,5.2,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.0
Kenya,Kitui,KEN,KE-KT,8.8,6.8,8.0,3.6,8.4,5.9,7.1,5.9,4.4,5.4,3.6,0.0,10.0,7.6,6.0,5.7,8.1,6.6,7.4,6.7,7.8,x,7.2,9.4,8.4,5.0,7.6,7.4,6.7
Kenya,Kwale,KEN,KE-KW,10.0,5.5,8.6,6.4,8.4,6.4,7.7,6.4,6.6,6.5,3.6,0.0,10.0,7.6,6.0,6.2,8.1,6.6,7.4,6.7,8.1,x,7.4,9.4,8.4,5.0,7.6,7.4,7.1
Kenya,Laikipia,KEN,KE-LK,7.6,5.5,6.7,6.4,8.4,6.4,6.5,5.0,4.7,4.9,3.6,0.0,10.0,7.6,6.0,5.5,8.1,6.6,7.4,6.7,8.6,x,7.6,9.4,8.4,5.0,7.6,7.5,6.5
Kenya,Lamu,KEN,KE-LM,7.4,6.2,6.9,10.0,8.4,10.0,8.9,5.8,5.9,5.8,3.6,0.0,0.0,0.0,2.0,4.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.5
Kenya,Machakos,KEN,KE-MC,10.0,5.7,8.7,3.6,8.4,5.9,7.5,5.3,4.6,5.1,3.6,0.0,0.0,0.0,2.0,3.7,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.9
Kenya,Makueni,KEN,KE-MK,10.0,7.5,9.1,3.6,8.4,5.9,7.9,5.9,4.1,5.3,3.6,0.0,10.0,7.6,6.0,5.6,8.1,6.6,7.4,6.7,8.7,x,7.7,9.4,8.4,5.0,7.6,7.5,7.0
Kenya,Mandera,KEN,KE-MD,8.5,6.7,7.7,10.0,8.4,10.0,9.2,8.4,4.7,7.2,3.6,0.0,10.0,7.6,6.0,6.6,8.1,6.6,7.4,6.7,6.4,x,6.5,9.4,8.4,5.0,7.6,7.2,7.6
Kenya,Marsabit,KEN,KE-MB,0.0,6.8,4.2,10.0,8.4,10.0,8.3,6.4,4.7,5.8,3.6,0.0,10.0,7.6,6.0,5.9,8.1,6.6,7.4,6.7,7.0,x,6.8,9.4,8.4,5.0,7.6,7.3,7.1
Kenya,Meru,KEN,KE-ME,4.6,6.8,5.8,3.6,8.4,5.9,5.8,5.2,4.3,4.9,3.6,0.0,10.0,7.6,6.0,5.5,8.1,6.6,7.4,6.7,8.6,x,7.6,9.4,8.4,5.0,7.6,7.5,6.2
Kenya,Migori,KEN,KE-MG,10.0,6.7,8.9,1.0,8.4,5.9,7.7,6.2,5.3,5.9,3.6,0.0,0.0,0.0,2.0,4.2,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.3
Kenya,Mombasa,KEN,KE-MM,10.0,6.7,8.9,10.0,8.4,10.0,9.5,5.3,4.8,5.1,3.6,0.0,0.0,0.0,2.0,3.7,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.4
Kenya,Murang'a,KEN,KE-MU,8.2,0.0,5.5,3.6,8.4,5.9,5.7,4.3,3.7,4.1,3.6,0.0,0.0,0.0,2.0,3.1,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.1
Kenya,Nairobi,KEN,KE-NB,7.6,2.3,5.6,10.0,8.4,10.0,8.6,2.8,3.7,3.1,6.5,0.0,0.0,0.0,4.0,3.6,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,6.1
Kenya,Nakuru,KEN,KE-NK,8.3,3.0,6.4,6.4,8.4,6.4,6.4,5.5,5.0,5.3,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.7
Kenya,Nandi,KEN,KE-ND,8.9,2.5,6.7,6.4,8.4,6.4,6.6,5.6,4.7,5.3,3.6,0.0,0.0,0.0,2.0,3.8,8.1,6.6,7.4,6.7,8.9,x,7.8,9.4,8.4,5.0,7.6,7.6,5.7
